2018/11/04 23:24:32 loader.go:77: Connecting to zero at localhost:5080
2018/11/04 23:24:32 Replaying from value pointer: {Fid:0 Len:0 Offset:0}
2018/11/04 23:24:32 Iterating file id: 0
2018/11/04 23:24:32 Iteration took: 24.291µs
processing file (1 out of 1): /home/iderr/workspace/graphdb-benchmarks/databases/dgraph/../../data/21million.rdf.gz
REDUCE 02m01s [84.36%] edge_count:35.83M edge_speed:1.119M/sec plist_count:12.50M plist_speed:390.6k/sec
REDUCE 02m02s [85.66%] edge_count:36.39M edge_speed:1.102M/sec plist_count:13.05M plist_speed:395.2k/sec
REDUCE 02m03s [86.86%] edge_count:36.90M edge_speed:1.085M/sec plist_count:13.56M plist_speed:398.5k/sec
REDUCE 02m04s [88.03%] edge_count:37.40M edge_speed:1.068M/sec plist_count:14.06M plist_speed:401.4k/sec
REDUCE 02m05s [89.21%] edge_count:37.90M edge_speed:1.052M/sec plist_count:14.49M plist_speed:402.3k/sec
REDUCE 02m06s [91.22%] edge_count:38.75M edge_speed:1.047M/sec plist_count:15.01M plist_speed:405.4k/sec
REDUCE 02m07s [91.94%] edge_count:39.05M edge_speed:1.027M/sec plist_count:15.31M plist_speed:402.7k/sec
REDUCE 02m08s [93.25%] edge_count:39.61M edge_speed:1.015M/sec plist_count:15.74M plist_speed:403.4k/sec
REDUCE 02m09s [95.24%] edge_count:40.46M edge_speed:1.011M/sec plist_count:16.17M plist_speed:404.0k/sec
REDUCE 02m10s [96.30%] edge_count:40.91M edge_speed:997.4k/sec plist_count:16.56M plist_speed:403.8k/sec
REDUCE 02m11s [97.48%] edge_count:41.41M edge_speed:985.6k/sec plist_count:17.04M plist_speed:405.6k/sec
REDUCE 02m12s [99.61%] edge_count:42.31M edge_speed:983.6k/sec plist_count:17.41M plist_speed:404.6k/sec
REDUCE 02m13s [100.00%] edge_count:42.48M edge_speed:965.1k/sec plist_count:17.41M plist_speed:395.6k/sec
REDUCE 02m14s [100.00%] edge_count:42.48M edge_speed:943.6k/sec plist_count:17.41M plist_speed:386.8k/sec
REDUCE 02m15s [100.00%] edge_count:42.48M edge_speed:923.1k/sec plist_count:17.41M plist_speed:378.4k/sec
REDUCE 02m16s [100.00%] edge_count:42.48M edge_speed:903.5k/sec plist_count:17.41M plist_speed:370.4k/sec
REDUCE 02m17s [100.00%] edge_count:42.48M edge_speed:884.6k/sec plist_count:17.41M plist_speed:362.7k/sec
REDUCE 02m18s [100.00%] edge_count:42.48M edge_speed:866.6k/sec plist_count:17.41M plist_speed:355.3k/sec
REDUCE 02m18s [100.00%] edge_count:42.48M edge_speed:864.5k/sec plist_count:17.41M plist_speed:354.4k/sec
Total: 02m18s
